name,size

Federal,43
Administrative Office of the United States Courts,5
Commodity Futures Trading Commission,1
Consumer Financial Protection Bureau,3
Corporation for National and Community Service,0
Court Services and Offender Supervision Agency,0
Department of Agriculture,19
Department of Commerce,144
Department of Defense,9
Department of Education,24
Department of Energy,45
Department of Health and Human Services,85
Department of Homeland Security,10
Department of Housing and Urban Development,2
Department of Justice,11
Department of Labor,37
Department of State,3
Department of Transportation,18
Department of Veterans Affairs,2
Department of the Interior,17
Department of the Treasury,19
Executive Office of the President,1
Federal Communications Commission,2
Federal Deposit Insurance Corporation,3
Federal Election Commission,5
Federal Financial Institutions Examination Council,0
Federal Housing Finance Agency,2
Federal Reserve Board,10
General Services Administration,3
Institute of Museum and Library Services,1
National Aeronautics and Space Administration,7
National Archives and Records Administration,2
National Science Foundation,1
Securities and Exchange Commission,45
Small Business Administration,1
Social Security Administration,1
U.S. Environmental Protection Agency,23
US Agency for International Development,1
US Consumer Product Safety Commission,3
US Copyright Office,0
US Equal Employment Opportunity Commission,2
US International Trade Commission,1
United States Postal Service,0


State,23
Arizona,0
Arkansas,1
California,10
Colorado,1
Delaware,1
District of Columbia,4
Florida,2
Illinois,1
Indiana,1
Kansas,0
Kentucky,1
Maryland,2
Massachusetts,1
Minnesota,0
Missouri,1
New York,5
Philadelphia,1
Tennessee,2
Texas,1
Utah,1
Virginia,3
Washington,1


City/County,14
Atlanta,1
Austin,1
Boston,1
Chicago,6
Los Angeles,1
Louisville,2
Montgomery County,1
New York City,12
Palo Alto,1
Raleigh,1
San Francisco,5
Santa Cruz,1
Seattle,3
